type_code,OSM-ID,lat,lon,Name
1431256,1431256,1431256,1431256,1431256
970656,970656,970656,970656,970656
392493,392493,392493,392493,392493
389285,389285,389285,389285,389285
266093,266093,266093,266093,266093
236127,236127,236127,236127,236127
235359,235359,235359,235359,235359
189455,189455,189455,189455,189455
184229,184229,184229,184229,184229
174826,174826,174826,174826,174826
167413,167413,167413,167413,167413
166717,166717,166717,166717,166717
157074,157074,157074,157074,157074
132153,132153,132153,132153,132153
129433,129433,129433,129433,129433
116219,116219,116219,116219,116219
111977,111977,111977,111977,111977
107869,107869,107869,107869,107869
102930,102930,102930,102930,102930
101405,101405,101405,101405,101405
98433,98433,98433,98433,98433
81310,81310,81310,81310,81310
79345,79345,79345,79345,79345
76260,76260,76260,76260,76260
75774,75774,75774,75774,75774
71154,71154,71154,71154,71154
69148,69148,69148,69148,69148
68486,68486,68486,68486,68486
61388,61388,61388,61388,61388
57688,57688,57688,57688,57688
55898,55898,55898,55898,55898
53967,53967,53967,53967,53967
52473,52473,52473,52473,52473
51872,51872,51872,51872,51872
50508,50508,50508,50508,50508
49471,49471,49471,49471,49471
47017,47017,47017,47017,47017
46334,46334,46334,46334,46334
44284,44284,44284,44284,44284
43821,43821,43821,43821,43821
41312,41312,41312,41312,41312
40556,40556,40556,40556,40556
39381,39381,39381,39381,39381
38787,38787,38787,38787,38787
38567,38567,38567,38567,38567
38523,38523,38523,38523,38523
36445,36445,36445,36445,36445
35975,35975,35975,35975,35975
35514,35514,35514,35514,35514
32693,32693,32693,32693,32693
31385,31385,31385,31385,31385
29699,29699,29699,29699,29699
29296,29296,29296,29296,29296
28756,28756,28756,28756,28756
28419,28419,28419,28419,28419
27678,27678,27678,27678,27678
27496,27496,27496,27496,27496
27002,27002,27002,27002,27002
26835,26835,26835,26835,26835
26514,26514,26514,26514,26514
26400,26400,26400,26400,26400
25511,25511,25511,25511,25511
24395,24395,24395,24395,24395
23814,23814,23814,23814,23814
23182,23182,23182,23182,23182
21594,21594,21594,21594,21594
20512,20512,20512,20512,20512
19829,19829,19829,19829,19829
19538,19538,19538,19538,19538
18808,18808,18808,18808,18808
18432,18432,18432,18432,18432
18270,18270,18270,18270,18270
17987,17987,17987,17987,17987
17894,17894,17894,17894,17894
17314,17314,17314,17314,17314
16833,16833,16833,16833,16833
15661,15661,15661,15661,15661
14369,14369,14369,14369,14369
14128,14128,14128,14128,14128
14081,14081,14081,14081,14081
13939,13939,13939,13939,13939
13680,13680,13680,13680,13680
12827,12827,12827,12827,12827
12666,12666,12666,12666,12666
12083,12083,12083,12083,12083
11833,11833,11833,11833,11833
11669,11669,11669,11669,11669
11623,11623,11623,11623,11623
11537,11537,11537,11537,11537
11229,11229,11229,11229,11229
11080,11080,11080,11080,11080
11067,11067,11067,11067,11067
10891,10891,10891,10891,10891
10850,10850,10850,10850,10850
10623,10623,10623,10623,10623
10153,10153,10153,10153,10153
9849,9849,9849,9849,9849
9685,9685,9685,9685,9685
9446,9446,9446,9446,9446
9292,9292,9292,9292,9292
8874,8874,8874,8874,8874
8764,8764,8764,8764,8764
8449,8449,8449,8449,8449
8378,8378,8378,8378,8378
7870,7870,7870,7870,7870
7709,7709,7709,7709,7709
7205,7205,7205,7205,7205
6772,6772,6772,6772,6772
6574,6574,6574,6574,6574
6476,6476,6476,6476,6476
6424,6424,6424,6424,6424
6410,6410,6410,6410,6410
6166,6166,6166,6166,6166
5966,5966,5966,5966,5966
5621,5621,5621,5621,5621
4838,4838,4838,4838,4838
4517,4517,4517,4517,4517
4477,4477,4477,4477,4477
4473,4473,4473,4473,4473
4366,4366,4366,4366,4366
4167,4167,4167,4167,4167
3711,3711,3711,3711,3711
3597,3597,3597,3597,3597
3588,3588,3588,3588,3588
3541,3541,3541,3541,3541
3402,3402,3402,3402,3402
2977,2977,2977,2977,2977
2911,2911,2911,2911,2911
2884,2884,2884,2884,2884
2748,2748,2748,2748,2748
2735,2735,2735,2735,2735
2641,2641,2641,2641,2641
2617,2617,2617,2617,2617
2424,2424,2424,2424,2424
2376,2376,2376,2376,2376
2283,2283,2283,2283,2283
2156,2156,2156,2156,2156
2123,2123,2123,2123,2123
1973,1973,1973,1973,1973
1970,1970,1970,1970,1970
1956,1956,1956,1956,1956
1702,1702,1702,1702,1702
1625,1625,1625,1625,1625
1608,1608,1608,1608,1608
1545,1545,1545,1545,1545
1521,1521,1521,1521,1521
1477,1477,1477,1477,1477
1315,1315,1315,1315,1315
1274,1274,1274,1274,1274
1263,1263,1263,1263,1263
1223,1223,1223,1223,1223
1029,1029,1029,1029,1029
976,976,976,976,976
859,859,859,859,859
781,781,781,781,781
450,450,450,450,450
423,423,423,423,423
358,358,358,358,358
319,319,319,319,319
190,190,190,190,190
162,162,162,162,162
157,157,157,157,157
120,120,120,120,120
49,49,49,49,49
19,19,19,19,19
4,4,4,4,4
4,4,4,4,4
